#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-B3AA733A4BDE41-1CD58AD9E4528FF7
#datatype	hitsFull Results
#status	0
#Start time	2020-12-09T13:44:56	Run time	0:00:09:22
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	superfamily	163337	24	350	0	602.758	cl31462	PseI superfamily	 - 	 - 
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	non-specific	163337	24	350	0	602.758	TIGR03586	PseI	 - 	cl31462
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	specific	225000	11	356	0	527.671	COG2089	SpsE	 - 	cl30261
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	superfamily	225000	11	356	0	527.671	cl30261	SpsE superfamily	 - 	 - 
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	non-specific	225000	11	356	0	527.671	COG2089	SpsE	 - 	cl30261
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	specific	376990	45	281	5.28251e-128	366.438	pfam03102	NeuB	 - 	cl17225
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	superfamily	388417	45	281	5.28251e-128	366.438	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	non-specific	376990	45	281	5.28251e-128	366.438	pfam03102	NeuB	 - 	cl17225
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	non-specific	274655	25	348	1.37986e-105	312.594	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	superfamily	274655	25	348	1.37986e-105	312.594	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	non-specific	274655	25	348	1.37986e-105	312.594	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	specific	212160	298	355	5.58827e-22	87.3958	cd11615	SAF_NeuB_like	 - 	cl00555
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	superfamily	382078	298	355	5.58827e-22	87.3958	cl00555	SAF superfamily	 - 	 - 
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	non-specific	212160	298	355	5.58827e-22	87.3958	cd11615	SAF_NeuB_like	 - 	cl00555
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	non-specific	378023	298	355	1.47898e-09	53.3339	pfam08666	SAF	 - 	cl00555
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	non-specific	378023	298	355	1.47898e-09	53.3339	pfam08666	SAF	 - 	cl00555
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	specific	214862	298	355	2.04825e-07	47.1758	smart00858	SAF	 - 	cl00555
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	non-specific	214862	298	355	2.04825e-07	47.1758	smart00858	SAF	 - 	cl00555
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	non-specific	212159	304	355	0.00131743	36.6806	cd11614	SAF_CpaB_FlgA_like	 - 	cl00555
Q#192 - >60:Caulobacter crescentus NA1000 | CCNA_02961	non-specific	212159	304	355	0.00131743	36.6806	cd11614	SAF_CpaB_FlgA_like	 - 	cl00555
Q#193 - >83:Caulobacter segnis ATCC 21756 | Cseg_0922	specific	163337	18	344	0	575.023	TIGR03586	PseI	 - 	cl31462
Q#193 - >83:Caulobacter segnis ATCC 21756 | Cseg_0922	superfamily	163337	18	344	0	575.023	cl31462	PseI superfamily	 - 	 - 
Q#193 - >83:Caulobacter segnis ATCC 21756 | Cseg_0922	specific	225000	6	350	1.72929e-177	495.699	COG2089	SpsE	 - 	cl30261
Q#193 - >83:Caulobacter segnis ATCC 21756 | Cseg_0922	superfamily	225000	6	350	1.72929e-177	495.699	cl30261	SpsE superfamily	 - 	 - 
Q#193 - >83:Caulobacter segnis ATCC 21756 | Cseg_0922	specific	376990	39	275	7.08891e-122	350.645	pfam03102	NeuB	 - 	cl17225
Q#193 - >83:Caulobacter segnis ATCC 21756 | Cseg_0922	superfamily	388417	39	275	7.08891e-122	350.645	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#193 - >83:Caulobacter segnis ATCC 21756 | Cseg_0922	non-specific	274655	19	342	4.90738e-105	311.053	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#193 - >83:Caulobacter segnis ATCC 21756 | Cseg_0922	superfamily	274655	19	342	4.90738e-105	311.053	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#193 - >83:Caulobacter segnis ATCC 21756 | Cseg_0922	specific	212160	292	349	4.98449e-22	87.781	cd11615	SAF_NeuB_like	 - 	cl00555
Q#193 - >83:Caulobacter segnis ATCC 21756 | Cseg_0922	superfamily	382078	292	349	4.98449e-22	87.781	cl00555	SAF superfamily	 - 	 - 
Q#193 - >83:Caulobacter segnis ATCC 21756 | Cseg_0922	non-specific	378023	292	349	1.0963e-11	59.4971	pfam08666	SAF	 - 	cl00555
Q#193 - >83:Caulobacter segnis ATCC 21756 | Cseg_0922	specific	214862	292	349	2.56263e-08	49.8722	smart00858	SAF	 - 	cl00555
Q#193 - >83:Caulobacter segnis ATCC 21756 | Cseg_0922	non-specific	212159	296	349	1.15463e-05	42.4586	cd11614	SAF_CpaB_FlgA_like	 - 	cl00555
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	specific	163337	18	344	0	539.97	TIGR03586	PseI	 - 	cl31462
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	superfamily	163337	18	344	0	539.97	cl31462	PseI superfamily	 - 	 - 
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	specific	225000	5	349	1.35207e-152	432.526	COG2089	SpsE	 - 	cl30261
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	superfamily	225000	5	349	1.35207e-152	432.526	cl30261	SpsE superfamily	 - 	 - 
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	specific	376990	51	275	7.90551e-118	340.245	pfam03102	NeuB	 - 	cl17225
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	superfamily	388417	51	275	7.90551e-118	340.245	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	non-specific	274655	19	344	5.46986e-99	295.645	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	superfamily	274655	19	344	5.46986e-99	295.645	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	specific	212160	292	349	1.92358e-28	104.73	cd11615	SAF_NeuB_like	 - 	cl00555
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	superfamily	382078	292	349	1.92358e-28	104.73	cl00555	SAF superfamily	 - 	 - 
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	non-specific	378023	292	350	1.54888e-13	64.5047	pfam08666	SAF	 - 	cl00555
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	specific	214862	292	350	2.73508e-11	58.3466	smart00858	SAF	 - 	cl00555
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	non-specific	212159	297	349	2.0516e-06	44.3846	cd11614	SAF_CpaB_FlgA_like	 - 	cl00555
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	non-specific	379039	297	350	0.0060891	35.9777	pfam13144	ChapFlgA	C	cl00555
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	non-specific	224181	254	349	0.00783828	37.3383	COG1261	FlgA	NC	cl00555
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	non-specific	274466	297	350	0.00908357	35.5848	TIGR03170	flgA_cterm	C	cl37230
Q#194 - >246:Nitrobacter hamburgensis X14 | Nham_1196	superfamily	274466	297	350	0.00908357	35.5848	cl37230	flgA_cterm superfamily	C	 - 
Q#195 - >262:Nitrobacter winogradskyi Nb-255 | Nwi_0647	specific	163337	18	344	0	556.148	TIGR03586	PseI	 - 	cl31462
Q#195 - >262:Nitrobacter winogradskyi Nb-255 | Nwi_0647	superfamily	163337	18	344	0	556.148	cl31462	PseI superfamily	 - 	 - 
Q#195 - >262:Nitrobacter winogradskyi Nb-255 | Nwi_0647	specific	225000	8	349	4.02996e-157	444.082	COG2089	SpsE	 - 	cl30261
Q#195 - >262:Nitrobacter winogradskyi Nb-255 | Nwi_0647	superfamily	225000	8	349	4.02996e-157	444.082	cl30261	SpsE superfamily	 - 	 - 
Q#195 - >262:Nitrobacter winogradskyi Nb-255 | Nwi_0647	specific	376990	51	278	3.27714e-116	336.007	pfam03102	NeuB	 - 	cl17225
Q#195 - >262:Nitrobacter winogradskyi Nb-255 | Nwi_0647	superfamily	388417	51	278	3.27714e-116	336.007	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#195 - >262:Nitrobacter winogradskyi Nb-255 | Nwi_0647	non-specific	274655	19	344	1.49833e-105	312.594	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#195 - >262:Nitrobacter winogradskyi Nb-255 | Nwi_0647	superfamily	274655	19	344	1.49833e-105	312.594	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#195 - >262:Nitrobacter winogradskyi Nb-255 | Nwi_0647	specific	212160	292	349	1.65465e-26	99.7222	cd11615	SAF_NeuB_like	 - 	cl00555
Q#195 - >262:Nitrobacter winogradskyi Nb-255 | Nwi_0647	superfamily	382078	292	349	1.65465e-26	99.7222	cl00555	SAF superfamily	 - 	 - 
Q#195 - >262:Nitrobacter winogradskyi Nb-255 | Nwi_0647	non-specific	378023	292	350	5.65558e-12	60.2675	pfam08666	SAF	 - 	cl00555
Q#195 - >262:Nitrobacter winogradskyi Nb-255 | Nwi_0647	specific	214862	292	350	2.38256e-09	52.9538	smart00858	SAF	 - 	cl00555
Q#195 - >262:Nitrobacter winogradskyi Nb-255 | Nwi_0647	non-specific	212159	297	344	2.60901e-05	41.303	cd11614	SAF_CpaB_FlgA_like	 - 	cl00555
Q#195 - >262:Nitrobacter winogradskyi Nb-255 | Nwi_0647	non-specific	224181	254	344	0.00201142	38.8791	COG1261	FlgA	NC	cl00555
Q#196 - >264:Octadecabacter arcticus 238 | OA238_c45440	specific	163337	17	343	0	545.748	TIGR03586	PseI	 - 	cl31462
Q#196 - >264:Octadecabacter arcticus 238 | OA238_c45440	superfamily	163337	17	343	0	545.748	cl31462	PseI superfamily	 - 	 - 
Q#196 - >264:Octadecabacter arcticus 238 | OA238_c45440	specific	225000	4	348	2.84593e-153	434.452	COG2089	SpsE	 - 	cl30261
Q#196 - >264:Octadecabacter arcticus 238 | OA238_c45440	superfamily	225000	4	348	2.84593e-153	434.452	cl30261	SpsE superfamily	 - 	 - 
Q#196 - >264:Octadecabacter arcticus 238 | OA238_c45440	specific	376990	38	275	3.05132e-120	346.408	pfam03102	NeuB	 - 	cl17225
Q#196 - >264:Octadecabacter arcticus 238 | OA238_c45440	superfamily	388417	38	275	3.05132e-120	346.408	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#196 - >264:Octadecabacter arcticus 238 | OA238_c45440	non-specific	274655	18	341	1.91931e-101	302.194	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#196 - >264:Octadecabacter arcticus 238 | OA238_c45440	superfamily	274655	18	341	1.91931e-101	302.194	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#196 - >264:Octadecabacter arcticus 238 | OA238_c45440	specific	212160	291	348	1.44016e-21	86.2402	cd11615	SAF_NeuB_like	 - 	cl00555
Q#196 - >264:Octadecabacter arcticus 238 | OA238_c45440	superfamily	382078	291	348	1.44016e-21	86.2402	cl00555	SAF superfamily	 - 	 - 
Q#196 - >264:Octadecabacter arcticus 238 | OA238_c45440	non-specific	378023	291	349	7.97198e-08	48.3263	pfam08666	SAF	 - 	cl00555
Q#196 - >264:Octadecabacter arcticus 238 | OA238_c45440	specific	214862	291	349	4.54586e-05	40.6274	smart00858	SAF	 - 	cl00555
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	specific	163337	17	343	0	573.868	TIGR03586	PseI	 - 	cl31462
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	superfamily	163337	17	343	0	573.868	cl31462	PseI superfamily	 - 	 - 
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	specific	225000	5	346	5.72422e-162	456.409	COG2089	SpsE	 - 	cl30261
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	superfamily	225000	5	346	5.72422e-162	456.409	cl30261	SpsE superfamily	 - 	 - 
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	specific	376990	38	276	9.47395e-137	388.395	pfam03102	NeuB	 - 	cl17225
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	superfamily	388417	38	276	9.47395e-137	388.395	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	non-specific	274655	18	341	3.34766e-116	339.558	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	superfamily	274655	18	341	3.34766e-116	339.558	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	specific	212160	291	345	1.17621e-20	83.929	cd11615	SAF_NeuB_like	 - 	cl00555
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	superfamily	382078	291	345	1.17621e-20	83.929	cl00555	SAF superfamily	 - 	 - 
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	non-specific	225431	2	275	1.16508e-09	58.5292	COG2876	AroGA	 - 	cl17225
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	non-specific	378023	291	345	7.74142e-09	51.4079	pfam08666	SAF	 - 	cl00555
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	non-specific	273577	98	268	9.17762e-08	52.3467	TIGR01361	DAHP_synth_Bsub	N	cl17225
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	non-specific	181535	141	275	6.09986e-07	50.2748	PRK08673	PRK08673	N	cl32318
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	superfamily	181535	141	275	6.09986e-07	50.2748	cl32318	PRK08673 superfamily	N	 - 
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	non-specific	183614	98	272	4.69884e-05	44.5822	PRK12595	PRK12595	N	cl32795
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	superfamily	183614	98	272	4.69884e-05	44.5822	cl32795	PRK12595 superfamily	N	 - 
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	specific	214862	291	345	5.08393e-05	40.6274	smart00858	SAF	 - 	cl00555
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	non-specific	172030	98	253	0.00023505	41.9245	PRK13397	PRK13397	N	cl17225
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	non-specific	184028	141	273	0.000306696	41.6084	PRK13398	PRK13398	N	cl17225
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	non-specific	237376	139	274	0.00238469	39.356	PRK13396	PRK13396	N	cl36245
Q#197 - >99:Desulfobacterium autotrophicum HRM2 | HRM2_36740	superfamily	237376	139	274	0.00238469	39.356	cl36245	PRK13396 superfamily	N	 - 
Q#198 - >310:Roseiflexus castenholzii DSM 13941 | Rcas_0774	specific	163337	17	344	0	571.171	TIGR03586	PseI	 - 	cl31462
Q#198 - >310:Roseiflexus castenholzii DSM 13941 | Rcas_0774	superfamily	163337	17	344	0	571.171	cl31462	PseI superfamily	 - 	 - 
Q#198 - >310:Roseiflexus castenholzii DSM 13941 | Rcas_0774	specific	225000	5	349	1.74235e-168	472.972	COG2089	SpsE	 - 	cl30261
Q#198 - >310:Roseiflexus castenholzii DSM 13941 | Rcas_0774	superfamily	225000	5	349	1.74235e-168	472.972	cl30261	SpsE superfamily	 - 	 - 
Q#198 - >310:Roseiflexus castenholzii DSM 13941 | Rcas_0774	specific	376990	38	275	2.22299e-136	387.624	pfam03102	NeuB	 - 	cl17225
Q#198 - >310:Roseiflexus castenholzii DSM 13941 | Rcas_0774	superfamily	388417	38	275	2.22299e-136	387.624	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#198 - >310:Roseiflexus castenholzii DSM 13941 | Rcas_0774	non-specific	274655	18	342	1.85082e-126	365.752	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#198 - >310:Roseiflexus castenholzii DSM 13941 | Rcas_0774	superfamily	274655	18	342	1.85082e-126	365.752	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#198 - >310:Roseiflexus castenholzii DSM 13941 | Rcas_0774	specific	212160	292	349	3.39024e-27	101.648	cd11615	SAF_NeuB_like	 - 	cl00555
Q#198 - >310:Roseiflexus castenholzii DSM 13941 | Rcas_0774	superfamily	382078	292	349	3.39024e-27	101.648	cl00555	SAF superfamily	 - 	 - 
Q#198 - >310:Roseiflexus castenholzii DSM 13941 | Rcas_0774	non-specific	378023	292	349	6.70416e-11	57.1859	pfam08666	SAF	 - 	cl00555
Q#198 - >310:Roseiflexus castenholzii DSM 13941 | Rcas_0774	specific	214862	292	349	5.36353e-08	49.1018	smart00858	SAF	 - 	cl00555
Q#198 - >310:Roseiflexus castenholzii DSM 13941 | Rcas_0774	non-specific	225431	3	276	3.12632e-05	45.0473	COG2876	AroGA	 - 	cl17225
Q#198 - >310:Roseiflexus castenholzii DSM 13941 | Rcas_0774	non-specific	368089	7	56	0.00045826	41.3116	pfam04733	Coatomer_E	NC	cl28726
Q#198 - >310:Roseiflexus castenholzii DSM 13941 | Rcas_0774	superfamily	368089	7	56	0.00045826	41.3116	cl28726	Coatomer_E superfamily	NC	 - 
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	specific	163337	17	344	0	567.704	TIGR03586	PseI	 - 	cl31462
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	superfamily	163337	17	344	0	567.704	cl31462	PseI superfamily	 - 	 - 
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	specific	225000	5	350	9.28907e-173	483.758	COG2089	SpsE	 - 	cl30261
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	superfamily	225000	5	350	9.28907e-173	483.758	cl30261	SpsE superfamily	 - 	 - 
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	specific	376990	38	278	7.37198e-143	403.802	pfam03102	NeuB	 - 	cl17225
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	superfamily	388417	38	278	7.37198e-143	403.802	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	non-specific	274655	18	342	2.38951e-129	373.07	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	superfamily	274655	18	342	2.38951e-129	373.07	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	specific	212160	292	349	4.40886e-26	98.5666	cd11615	SAF_NeuB_like	 - 	cl00555
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	superfamily	382078	292	349	4.40886e-26	98.5666	cl00555	SAF superfamily	 - 	 - 
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	non-specific	378023	292	349	5.88364e-12	60.2675	pfam08666	SAF	 - 	cl00555
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	specific	214862	292	349	2.57731e-09	52.5686	smart00858	SAF	 - 	cl00555
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	non-specific	273577	7	269	2.25074e-07	51.1911	TIGR01361	DAHP_synth_Bsub	 - 	cl17225
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	non-specific	225431	8	276	3.4279e-07	50.8252	COG2876	AroGA	 - 	cl17225
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	non-specific	212161	299	349	1.35834e-05	42.4873	cd11616	SAF_DH_OX_like	C	cl00555
Q#199 - >101:Candidatus Desulforudis audaxviator MP104C | Daud_1772	non-specific	212159	299	349	4.9411e-05	40.5326	cd11614	SAF_CpaB_FlgA_like	 - 	cl00555
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	specific	163337	18	344	0	547.674	TIGR03586	PseI	 - 	cl31462
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	superfamily	163337	18	344	0	547.674	cl31462	PseI superfamily	 - 	 - 
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	specific	225000	5	346	7.77478e-160	451.016	COG2089	SpsE	 - 	cl30261
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	superfamily	225000	5	346	7.77478e-160	451.016	cl30261	SpsE superfamily	 - 	 - 
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	specific	376990	39	277	2.24106e-132	377.224	pfam03102	NeuB	 - 	cl17225
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	superfamily	388417	39	277	2.24106e-132	377.224	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	non-specific	274655	19	342	3.80056e-126	364.981	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	superfamily	274655	19	342	3.80056e-126	364.981	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	specific	212160	292	348	1.35027e-26	99.7222	cd11615	SAF_NeuB_like	 - 	cl00555
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	superfamily	382078	292	348	1.35027e-26	99.7222	cl00555	SAF superfamily	 - 	 - 
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	non-specific	378023	292	346	6.56095e-11	57.1859	pfam08666	SAF	 - 	cl00555
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	specific	214862	292	347	2.05707e-07	47.1758	smart00858	SAF	 - 	cl00555
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	non-specific	225431	4	275	6.22376e-07	50.0548	COG2876	AroGA	 - 	cl17225
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	non-specific	273577	4	269	3.56771e-05	44.6427	TIGR01361	DAHP_synth_Bsub	 - 	cl17225
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	non-specific	181535	4	275	4.62987e-05	44.4968	PRK08673	PRK08673	N	cl32318
Q#200 - >94:Desulfatibacillum alkenivorans AK-01 | Dalk_0632	superfamily	181535	4	275	4.62987e-05	44.4968	cl32318	PRK08673 superfamily	N	 - 
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	specific	163337	15	342	0	558.074	TIGR03586	PseI	 - 	cl31462
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	superfamily	163337	15	342	0	558.074	cl31462	PseI superfamily	 - 	 - 
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	specific	225000	14	348	2.20709e-165	464.883	COG2089	SpsE	 - 	cl30261
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	superfamily	225000	14	348	2.20709e-165	464.883	cl30261	SpsE superfamily	 - 	 - 
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	specific	376990	36	275	2.06212e-133	379.535	pfam03102	NeuB	 - 	cl17225
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	superfamily	388417	36	275	2.06212e-133	379.535	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	non-specific	274655	16	340	2.15311e-124	360.359	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	superfamily	274655	16	340	2.15311e-124	360.359	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	specific	212160	290	347	1.93553e-25	96.6406	cd11615	SAF_NeuB_like	 - 	cl00555
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	superfamily	382078	290	347	1.93553e-25	96.6406	cl00555	SAF superfamily	 - 	 - 
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	non-specific	378023	290	348	8.7435e-12	59.4971	pfam08666	SAF	 - 	cl00555
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	specific	214862	290	348	2.50973e-09	52.5686	smart00858	SAF	 - 	cl00555
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	non-specific	181535	140	273	8.76931e-07	49.8896	PRK08673	PRK08673	N	cl32318
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	superfamily	181535	140	273	8.76931e-07	49.8896	cl32318	PRK08673 superfamily	N	 - 
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	non-specific	273577	97	267	1.24903e-06	48.8799	TIGR01361	DAHP_synth_Bsub	N	cl17225
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	non-specific	225431	138	274	6.02509e-06	46.9733	COG2876	AroGA	N	cl17225
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	non-specific	172030	117	263	1.00112e-05	46.1617	PRK13397	PRK13397	N	cl17225
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	non-specific	184028	130	266	1.59321e-05	45.8456	PRK13398	PRK13398	N	cl17225
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	non-specific	212159	297	342	0.000153603	38.9918	cd11614	SAF_CpaB_FlgA_like	 - 	cl00555
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	non-specific	183614	97	266	0.00090022	40.7302	PRK12595	PRK12595	N	cl32795
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	superfamily	183614	97	266	0.00090022	40.7302	cl32795	PRK12595 superfamily	N	 - 
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	non-specific	133424	139	191	0.00224446	39.3791	cd01339	LDH-like_MDH	NC	cl21454
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	superfamily	389744	139	191	0.00224446	39.3791	cl21454	NADB_Rossmann superfamily	NC	 - 
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	non-specific	173376	139	191	0.00251757	39.2871	PTZ00082	PTZ00082	NC	cl31750
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	superfamily	173376	139	191	0.00251757	39.2871	cl31750	PTZ00082 superfamily	NC	 - 
Q#201 - >265:Oceanithermus profundus DSM 14977 | Ocepr_2165	non-specific	173409	139	191	0.00298013	38.9345	PTZ00117	PTZ00117	NC	cl31753
